"s"	"p"	"o"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/Universities_Research_Association"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/Association_of_Universities_and_Colleges_of_Canada"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/align"	"right"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/almaMater"	"http://dbpedia.org/resource/University_of_Oxford"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/almaMater"	"http://dbpedia.org/resource/University_of_Toronto"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/almaMater"	"http://dbpedia.org/resource/University_of_Rochester"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/almaMater"	"http://dbpedia.org/resource/Northeastern_University"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/amphibian"	"http://dbpedia.org/resource/Tiger_salamander"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/amphibian"	"http://dbpedia.org/resource/Spotted_salamander"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/aprHighF"	60
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/aprLowF"	40
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/aprPrecipitationInch"	3.15
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/aprRecordHighF"	88
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/aprRecordLowF"	17
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/areaCode"	416437647
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaCode"	312773872847224
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaCode"	330234
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaLandKm"	23.75
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaLandSqMi"	227.2
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaLandSqMi"	9.17
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaMagnitude"	1
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/areaMetroKm"	7125
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaMetroSqMi"	10874
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/areaTotalKm"	630
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaTotalKm"	606.1
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaTotalKm"	24.04
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaTotalSqMi"	234
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaTotalSqMi"	9.28
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/areaUrbanKm"	1749
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaUrbanSqMi"	2122.8
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaWaterKm"	0.28
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaWaterPercent"	3
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/areaWaterSqMi"	6.9
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/areaWaterSqMi"	0.11
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/arearank"	25
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/arearank"	34
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/arearank"	4
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuCan"	1
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/arwuN"	8
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/arwuSoc"	2
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuSoc"	42
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/arwuW"	9
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuW"	28
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/National_Collegiate_Athletic_Association"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Division_III_(NCAA)"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/University_Athletic_Association"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/athletics"	16
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/National_Collegiate_Athletic_Association"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Mid-American_Conference"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Division_I_(NCAA)"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/athletics"	44
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Canadian_University_Field_Lacrosse_Association"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Canadian_Interuniversity_Sport"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/athletics"	"http://dbpedia.org/resource/Ontario_University_Athletics"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/augHighF"	82
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/augLowF"	63
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/augPrecipitationInch"	3.36
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/augRecordHighF"	100
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/augRecordLowF"	43
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/b"	"no"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/beverage"	"http://dbpedia.org/resource/Tomato_juice"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/bird"	"http://dbpedia.org/resource/Northern_Cardinal"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/bird"	"http://dbpedia.org/resource/Northern_Cardinal"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/bird"	"http://dbpedia.org/resource/Great_Northern_Loon"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/birthDate"	1954-10-26+02:00
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/birthDate"	1946-07-27+02:00
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/birthName"	"Christopher David Naylor"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/birthPlace"	"http://dbpedia.org/resource/Ontario"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/birthPlace"	"http://dbpedia.org/resource/Woodstock,_Ontario"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/birthPlace"	"http://dbpedia.org/resource/Canada"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/birthPlace"	"http://dbpedia.org/resource/Brookline,_Massachusetts"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/birthPlace"	"http://dbpedia.org/resource/Massachusetts"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/blank1Info"	"FEUZB"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/blank1Info"	2395512
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/blank1Name"	"GNBC Code"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/blank1Name"	"GNIS feature ID"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/blank1Name"	"GNIS feature ID"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/blankInfo"	30
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/blankInfo"	39
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/blankName"	"NTS Map"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/blankName"	"FIPS code"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/blankName"	"http://dbpedia.org/resource/Federal_Information_Processing_Standards"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/borderingstates"	"http://dbpedia.org/resource/Wisconsin"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/borderingstates"	"http://dbpedia.org/resource/Kentucky"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/borderingstates"	"http://dbpedia.org/resource/Missouri"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/borderingstates"	"http://dbpedia.org/resource/Indiana"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/borderingstates"	"http://dbpedia.org/resource/Iowa"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/butterfly"	"http://dbpedia.org/resource/Monarch_butterfly"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/calendar"	"Quarter"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/campus"	"Urban,"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/campus"	"http://dbpedia.org/resource/Suburb"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/campus"	"http://dbpedia.org/resource/College_town"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/campus"	"Urban,"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/cap"	4
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/capital"	"http://dbpedia.org/resource/Springfield,_Illinois"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/capital"	"http://dbpedia.org/resource/Columbus,_Ohio"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/capital"	"http://dbpedia.org/resource/Toronto"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/caption"	"Lefton Photo Taken in 2012"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/center"	"Toronto"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/centre"	"Illinois: Outline • Index"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/centre"	"Ohio: Outline • Index"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/chancellor"	"http://dbpedia.org/resource/Michael_Wilson_(Canadian_politician)"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/children"	"Karline Naylor"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/children"	"Max Naylor"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/children"	"Melinda Naylor"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/children"	"Sam Naylor"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/city"	"Chicago"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/city"	"http://dbpedia.org/resource/Kent,_Ohio"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/city"	"http://dbpedia.org/resource/Toronto"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/coatofarms"	"Coat of Arms of Ontario.png"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/colors"	"Maroon  White"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/colors"	"Kent State Blue and Kent State Gold"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/coordinatesDisplay"	1
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/coordinatesDisplay"	"inline,title"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/coordinatesDisplay"	"inline,title"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/coordinatesRegion"	"CA-ON"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/coordinatesRegion"	"US-IL"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/coordinatesRegion"	"US-OH"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/country"	"http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/country"	"http://dbpedia.org/resource/Canada"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/country"	"http://dbpedia.org/resource/Canada"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/dance"	"http://dbpedia.org/resource/Square_dance"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/date"	"August 2010"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/dateOfBirth"	1954-10-26+02:00
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/dateOfBirth"	1946-07-27+02:00
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/decHighF"	39
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/decLowF"	26
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/decPrecipitationInch"	2.83
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/decRecordHighF"	72
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/decRecordLowF"	"−12"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/demonym"	"Illinoisan"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/demonym"	"Ohioan; Buckeye"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/demonym"	"Ontarian"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/densityKm"	14.1
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/densityrank"	12
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/densityrank"	10
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/densityrank"	"3.0"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/direction"	"horizontal"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/direction"	"vertical"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/east"	"http://dbpedia.org/resource/Pickering,_Ontario"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/electoralvotes"	21
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/elevationFt"	597
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/elevationFt"	1050
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/elevationM"	76
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/elevationM"	320
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/endowment"	"US$6.67 billion"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/endowment"	"1.091E8"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/endowment"	"C$1.663 billion"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/entityadjective"	"Provincial"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/established"	1890
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/established"	1910
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/established"	1827-03-15+02:00
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedDate"	1793-08-27+02:00
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedDate"	1834-03-06+02:00
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedDate"	1998-01-01+02:00
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/establishedDate"	1837-03-04+02:00
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/establishedDate"	"1770.0"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/establishedDate"	1805
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/establishedDate"	1867
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/establishedDate"	"November 1805"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedTitle"	"http://dbpedia.org/resource/Municipal_corporation"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedTitle"	"http://dbpedia.org/resource/Merger_(politics)"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/establishedTitle"	"Established"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/establishedTitle"	"http://dbpedia.org/resource/Municipal_corporation"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/establishedTitle"	"Settled"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/establishedTitle"	"Founded"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/establishedTitle"	"Incorporated"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/expiry"	2014-08-16+02:00
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/faculty"	2168
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/faculty"	2458
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/febHighF"	38
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/febLowF"	23
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/febPrecipitationInch"	2
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/febRecordHighF"	70
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/febRecordLowF"	"−6"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/fish"	"http://dbpedia.org/resource/Bluegill"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/flag"	"Flag of Illinois.svg"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/flag"	"Flag of Ohio.svg"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/flag"	"Flag of Ontario.svg"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/flagLink"	"Flag of Toronto"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/flagSize"	125
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/flaglink"	"http://dbpedia.org/resource/Flag_and_seal_of_Illinois"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/flaglink"	"http://dbpedia.org/resource/Flag_of_Ohio"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/flagsize"	100
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/flagsize"	200
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/flower"	"http://dbpedia.org/resource/Viola_(plant)"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/flower"	"http://dbpedia.org/resource/Dianthus_caryophyllus"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/flower"	"http://dbpedia.org/resource/Trillium_grandiflorum"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/food"	"Gold Rush Apple Popcorn"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/footer"	"Top: Soldier Field; Middle: Wrigley Field; Bottom: Toyota Park"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/footer"	"Top: United Center; Middle: U.S. Cellular Field Bottom: Allstate Arena"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/footer"	"Portage Park on the Northwest Side and Washington Square Park on the Near North Side."
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/footerAlign"	"left/right/center"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/forbes"	14
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/former"	"Illinois Territory"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/fossil"	"http://dbpedia.org/resource/Tullimonstrum"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/fossil"	"Isotelus maximus, a trilobite"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/founder"	"http://dbpedia.org/resource/John_Haymaker"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/fullname"	"State of Illinois"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/fullname"	"State of Ohio"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/gdpPerCapita"	"C$48,971"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/gdpPerCapitaRank"	7
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/gdpRank"	"1.0"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/gdpTotal"	"C$654.561 billion"
